Timestamp Saccade Onset,Timestamp Saccade Offset,Exclude from Anlysis,Timestamp Saccade Onset (2),X coordinate saccade onset,Y coordinate saccade onset,Timestamp Saccade Offset (2),X coordinate saccade offset,Y coordinate saccade offset,Saccade duration,Saccade latency,Movement,Mean horizonal position,Std horizonal position,Mean vertical position,Std vertical position,Trial #
,871.0949420928955,0,,0.0,-6.72,871.0949420928955,1.7,-0.66,,,1,1.7,0,-0.66,0,146
1169.0330505371094,1523.1001377105713,0,1169.0330505371094,1.7,-0.66,1523.1001377105713,-2.3000000000000003,-3.5,354.0670871734619,297.93810844421387,1,-2.3000000000000003,0,-3.5,0,146
1836.2469673156738,2171.7560291290283,0,1836.2469673156738,-2.3000000000000003,-3.5,2171.7560291290283,1.6600000000000001,-3.84,335.5090618133545,313.14682960510254,1,1.6600000000000001,0,-3.84,0,146
2685.7800483703613,,1,2685.7800483703613,1.6600000000000001,-3.84,,,,,514.024019241333,1,,0,,0,146
,653.1941890716553,0,,0.0,-6.72,653.1941890716553,2.92,-5.14,,,1,2.92,0,-5.14,0,147
1071.4950561523438,1670.1350212097168,0,1071.4950561523438,2.92,-5.14,1670.1350212097168,6.08,-4.0,598.639965057373,418.3008670806885,1,6.08,0,-4.0,0,147
2168.492078781128,,1,2168.492078781128,6.08,-4.0,,,,,498.35705757141113,1,,0,,0,147
,682.6891899108887,0,,0.0,-6.72,682.6891899108887,1.04,0.2,,,1,1.04,0,0.2,0,148
998.2101917266846,1565.9091472625732,0,998.2101917266846,1.04,0.2,1565.9091472625732,4.26,-1.28,567.6989555358887,315.5210018157959,1,4.26,0,-1.28,0,148
1999.222993850708,2699.862003326416,0,1999.222993850708,4.26,-1.28,2699.862003326416,-2.2,7.0200000000000005,700.639009475708,433.31384658813477,1,-2.2,0,7.0200000000000005,0,148
2985.2612018585205,3483.6771488189697,0,2985.2612018585205,-2.2,7.0200000000000005,3483.6771488189697,-6.0200000000000005,4.86,498.4159469604492,285.3991985321045,1,-6.0200000000000005,0,4.86,0,148
3932.3880672454834,,1,3932.3880672454834,-6.0200000000000005,4.86,,,,,448.7109184265137,1,,0,,0,148
,880.1929950714111,0,,0.0,-6.72,880.1929950714111,-1.44,-0.5,,,1,-1.44,0,-0.5,0,149
1161.6160869598389,1531.1660766601562,0,1161.6160869598389,-1.44,-0.5,1531.1660766601562,-3.52,-3.12,369.5499897003174,281.42309188842773,1,-3.52,0,-3.12,0,149
1829.1490077972412,,1,1829.1490077972412,-3.52,-3.12,,,,,297.98293113708496,1,,0,,0,149
,719.1951274871826,0,,0.0,-6.72,719.1951274871826,1.4000000000000001,0.22,,,1,1.4000000000000001,0,0.22,0,150
1050.4570007324219,1650.5851745605469,0,1050.4570007324219,1.4000000000000001,0.22,1650.5851745605469,0.32,-3.24,600.128173828125,331.26187324523926,1,0.32,0,-3.24,0,150
2001.9001960754395,,1,2001.9001960754395,0.32,-3.24,,,,,351.3150215148926,1,,0,,0,150
,1201.2770175933838,0,,0.0,-6.72,1201.2770175933838,6.2,-5.18,,,1,6.2,0,-5.18,0,151
1667.1209335327148,,1,1667.1209335327148,6.2,-5.18,,,,,465.84391593933105,1,,0,,0,151
,1268.2969570159912,0,,0.0,-6.72,1268.2969570159912,-6.2,7.0600000000000005,,,1,-6.2,0,7.0600000000000005,0,152
1584.151029586792,2252.7170181274414,0,1584.151029586792,-6.2,7.0600000000000005,2252.7170181274414,5.58,7.04,668.5659885406494,315.8540725708008,1,5.58,0,7.04,0,152
2667.559862136841,,1,2667.559862136841,5.58,7.04,,,,,414.8428440093994,1,,0,,0,152
,1373.2590675354004,0,,0.0,-6.72,1373.2590675354004,4.62,-1.04,,,1,4.62,0,-1.04,0,153
1865.1890754699707,2398.8430500030518,0,1865.1890754699707,4.62,-1.04,2398.8430500030518,-3.92,4.84,533.653974533081,491.9300079345703,1,-3.92,0,4.84,0,153
2874.413013458252,,1,2874.413013458252,-3.92,4.84,,,,,475.5699634552002,1,,0,,0,153
,958.5549831390381,0,,0.0,-6.72,958.5549831390381,-1.24,2.68,,,1,-1.24,0,2.68,0,154
1383.4888935089111,1783.4677696228027,0,1383.4888935089111,-1.24,2.68,1783.4677696228027,-3.8200000000000003,4.5200000000000005,399.9788761138916,424.93391036987305,1,-3.8200000000000003,0,4.5200000000000005,0,154
2167.1547889709473,,1,2167.1547889709473,-3.8200000000000003,4.5200000000000005,,,,,383.68701934814453,1,,0,,0,154
,770.3111171722412,0,,0.0,-6.72,770.3111171722412,2.5,-0.3,,,1,2.5,0,-0.3,0,155
1235.403060913086,,1,1235.403060913086,2.5,-0.3,,,,,465.0919437408447,1,,0,,0,155
,926.1770248413086,0,,0.0,-6.72,926.1770248413086,-1.08,2.08,,,1,-1.08,0,2.08,0,156
1391.8168544769287,1726.7670631408691,0,1391.8168544769287,-1.08,2.08,1726.7670631408691,-4.38,1.72,334.95020866394043,465.6398296356201,1,-4.38,0,1.72,0,156
2291.5308475494385,,1,2291.5308475494385,-4.38,1.72,,,,,564.7637844085693,1,,0,,0,156
,735.2828979492188,0,,0.0,-6.72,735.2828979492188,-2.6,0.04,,,1,-2.6,0,0.04,0,157
1086.1659049987793,,1,1086.1659049987793,-2.6,0.04,,,,,350.88300704956055,1,,0,,0,157
,741.1978244781494,0,,0.0,-6.72,741.1978244781494,0.36,-0.6,,,1,0.36,0,-0.6,0,158
1143.4688568115234,1573.8728046417236,0,1143.4688568115234,0.36,-0.6,1573.8728046417236,-5.44,0.76,430.4039478302002,402.271032333374,1,-5.44,0,0.76,0,158
2006.6108703613281,2542.2139167785645,0,2006.6108703613281,-5.44,0.76,2542.2139167785645,2.56,-3.16,535.6030464172363,432.7380657196045,1,2.56,0,-3.16,0,158
3024.3778228759766,,1,3024.3778228759766,2.56,-3.16,,,,,482.1639060974121,1,,0,,0,158
,1636.070966720581,0,,0.0,-6.72,1636.070966720581,-4.36,6.58,,,1,-4.36,0,6.58,0,159
2033.3590507507324,2387.0151042938232,0,2033.3590507507324,-4.36,6.58,2387.0151042938232,-6.22,1.44,353.6560535430908,397.28808403015137,1,-6.22,0,1.44,0,159
2766.9270038604736,3167.78302192688,0,2766.9270038604736,-6.22,1.44,3167.78302192688,-5.36,-1.72,400.85601806640625,379.9118995666504,1,-5.36,0,-1.72,0,159
3504.6939849853516,3851.176977157593,0,3504.6939849853516,-5.36,-1.72,3851.176977157593,-1.9000000000000001,-0.28,346.4829921722412,336.9109630584717,1,-1.9000000000000001,0,-0.28,0,159
4185.868978500366,4536.827087402344,0,4185.868978500366,-1.9000000000000001,-0.28,4536.827087402344,1.94,0.9,350.95810890197754,334.69200134277344,1,1.94,0,0.9,0,159
4933.083057403564,5319.362163543701,0,4933.083057403564,1.94,0.9,5319.362163543701,5.5200000000000005,-1.6400000000000001,386.2791061401367,396.2559700012207,1,5.5200000000000005,0,-1.6400000000000001,0,159
5801.1791706085205,,1,5801.1791706085205,5.5200000000000005,-1.6400000000000001,,,,,481.81700706481934,1,,0,,0,159
,941.3712024688721,0,,0.0,-6.72,941.3712024688721,-4.28,4.7,,,1,-4.28,0,4.7,0,160
1371.995210647583,1785.0210666656494,0,1371.995210647583,-4.28,4.7,1785.0210666656494,0.42,6.96,413.0258560180664,430.62400817871094,1,0.42,0,6.96,0,160
2254.796028137207,,1,2254.796028137207,0.42,6.96,,,,,469.7749614715576,1,,0,,0,160
,1053.7900924682617,0,,0.0,-6.72,1053.7900924682617,5.5600000000000005,6.86,,,1,5.5600000000000005,0,6.86,0,161
1504.7149658203125,,1,1504.7149658203125,5.5600000000000005,6.86,,,,,450.9248733520508,1,,0,,0,161
,802.0520210266113,0,,0.0,-6.72,802.0520210266113,-3.68,-1.76,,,1,-3.68,0,-1.76,0,162
1201.5509605407715,,1,1201.5509605407715,-3.68,-1.76,,,,,399.49893951416016,1,,0,,0,162
,1121.5100288391113,0,,0.0,-6.72,1121.5100288391113,-5.22,-0.9,,,1,-5.22,0,-0.9,0,163
1458.4259986877441,,1,1458.4259986877441,-5.22,-0.9,,,,,336.9159698486328,1,,0,,0,163
,1473.958969116211,0,,0.0,-6.72,1473.958969116211,4.7,6.38,,,1,4.7,0,6.38,0,164
