single_visual,double_visual,single_manual,double_manual
104,136,171,190
224,239,87,107
186,218,121,152
250,275,131,176
242,240,118,151
228,259,108,142
206,239,113,153
243,259,114,176
172,173,121,154
117,95,67,84
210,248,107,158
248,254,139,166
212,200,103,126
200,222,105,157
221,245,107,157
261,277,128,179
225,248,127,165
225,269,106,158
210,234,113,150
