double_visual,double_manual
2.27623377405412,0.209530016240624
1.32442451894952,0.139175263296492
0.109227500207627,0.304232476758464
0.754468200124906,0.180084486146286
4.69899171271441,0.15332823343932
0.432981742131069,0.136698460437541
0.928476543961459,0.181231072561417
0.725395537157393,0.158187326448838
0.336130406018093,0.116863873182354
2.62072375409085,0.401763129909573
0.722697879135207,0.123117646731832
1.33582184029126,0.238185656765637
0.858522763092426,0.145148942650544
4.9999974122014,0.183353561194812
0.708151653185305,0.208471880948109
0.965616599282805,0.235195677802958
0.734105862496602,0.248949569052555
0.24180567386693,0.228065434723725
0.401322252710255,0.138433276302726
