VP #,Exp #,Block #,Trial #,# targets/trial,Target difficulty,Difficulty level easy target,Difficulty level difficult target,Gap location easy/shown target,Gap location difficult target,Reported gap location,# easy distractors,# difficult distractors,# all distractors,stim_1 x,stim_2 x,stim_3 x,stim_4 x,stim_5 x,stim_6 x,stim_7 x,stim_8 x,stim_9 x,stim_10 x,stim_1 y,stim_2 y,stim_3 y,stim_4 y,stim_5 y,stim_6 y,stim_7 y,stim_8 y,stim_9 y,stim_10 y,Cumulative timer,Hit,Score,Fixation error
5,1,1,1,1,2,9,7,3,,3,0,2,2,-5.26,-1.3,-1.28,,,,,,,,-3.02,-1.22,3.14,,,,,,,,39.536545037999986,1,0.02,
5,1,1,2,1,1,9,7,1,,1,5,0,5,-2.58,5.34,-3.12,1.98,4.32,1.08,,,,,-2.32,0.26,4.3,6.44,-4.12,-1.68,,,,,83.64282798800002,1,0.04,
5,1,1,3,1,1,9,7,4,,4,2,0,2,2.6,-0.8,5.78,,,,,,,,-3.1,2.18,-4.88,,,,,,,,96.895598888,1,0.06,
5,1,1,4,1,2,9,7,1,,1,0,8,8,-1.6600000000000001,-2.56,-5.82,6.0,3.06,2.34,-3.16,1.24,-3.92,,3.18,-4.5200000000000005,1.26,1.8,4.54,-3.68,6.84,-0.1,-1.24,,121.16431284000004,1,0.08,
5,1,1,5,1,2,9,7,2,,1,0,7,7,3.2800000000000002,-1.6,-6.16,5.84,-3.74,-4.84,-0.06,-4.44,,,-5.0600000000000005,-2.94,-1.02,3.2,2.24,5.2,3.94,-4.78,,,130.88371586800002,0,0.06,
5,1,1,6,1,1,9,7,3,,4,6,0,6,2.82,-0.36,1.16,-3.48,4.08,3.8200000000000003,-3.56,,,,6.22,3.7600000000000002,0.32,-1.48,1.94,-4.18,4.9,,,,143.227133751,0,0.04,
5,1,1,7,1,1,9,7,1,,1,8,0,8,-5.0600000000000005,4.26,5.66,-4.32,0.18,-5.7,-1.92,-1.3800000000000001,4.34,,3.0,-5.22,1.4000000000000001,6.08,6.62,-0.72,3.68,-1.62,5.32,,153.447051764,1,0.06,
5,1,1,8,1,1,9,7,3,,3,7,0,7,6.12,1.54,5.94,-4.98,-0.66,5.6000000000000005,-5.7,5.6000000000000005,,,7.0200000000000005,-2.86,-5.4,-1.2,6.36,1.74,4.58,-1.54,,,160.076390743,1,0.08,
5,1,1,9,1,1,9,7,2,,2,6,0,6,5.24,-5.68,2.18,-4.5,-4.74,-3.02,-0.1,,,,3.92,1.02,5.68,6.92,-3.42,3.68,0.74,,,,167.24646758999998,1,0.1,
5,1,1,10,1,2,9,7,1,,1,0,3,3,6.28,-3.72,2.2,3.06,,,,,,,5.3,1.84,4.78,-1.72,,,,,,,180.155673504,1,0.12,
5,1,1,11,1,1,9,7,2,,2,4,0,4,-5.7,-2.2600000000000002,5.22,-1.42,-3.92,,,,,,-1.6,7.12,-3.84,3.68,-4.98,,,,,,183.400348425,1,0.14,
5,1,1,12,1,1,9,7,1,,1,0,0,0,-0.22,,,,,,,,,,1.62,,,,,,,,,,187.42921638500002,1,0.16,
5,1,1,13,1,2,9,7,2,,2,0,0,0,-6.140000000000001,,,,,,,,,,5.5200000000000005,,,,,,,,,,190.002224445,1,0.18,
5,1,1,14,1,2,9,7,2,,2,0,5,5,-1.06,-4.5,-4.2,4.32,0.4,0.8200000000000001,,,,,-2.7800000000000002,-2.06,2.62,-5.12,0.24,6.68,,,,,193.227182388,1,0.2,
5,1,1,15,1,2,9,7,2,,2,0,3,3,-1.72,3.94,-4.9,-2.24,,,,,,,5.66,-2.7800000000000002,-5.48,-3.22,,,,,,,198.394164324,1,0.22,
5,1,1,16,1,2,9,7,1,,2,0,5,5,6.26,-6.0,5.0600000000000005,-3.14,-2.7800000000000002,2.16,,,,,-4.96,5.58,6.3,-1.98,1.3800000000000001,-3.34,,,,,206.542517185,0,0.2,
5,1,1,17,1,2,9,7,1,,2,0,0,0,-0.56,,,,,,,,,,5.18,,,,,,,,,,208.898725271,0,0.18,
5,1,1,18,1,2,9,7,3,,4,0,6,6,-1.48,2.64,-2.54,1.2,4.84,2.74,-4.76,,,,-1.02,-4.44,5.76,4.0600000000000005,6.54,-0.16,1.72,,,,219.885951281,0,0.16,
5,1,1,19,1,2,9,7,2,,2,0,2,2,-4.2,1.1,-5.12,,,,,,,,-5.12,0.44,5.3,,,,,,,,223.378969431,1,0.18,
5,1,1,20,1,1,9,7,2,,2,1,0,1,-5.66,3.7600000000000002,,,,,,,,,-0.24,-0.9,,,,,,,,,229.921122313,1,0.2,
5,1,1,21,1,1,9,7,2,,2,3,0,3,5.44,1.98,0.76,5.24,,,,,,,5.2,6.44,0.06,0.4,,,,,,,238.138478279,1,0.22,
5,1,1,22,1,2,9,7,2,,1,0,8,8,5.32,-4.68,0.76,-5.34,-6.24,0.08,1.42,5.66,-2.58,,-1.2,-4.84,2.94,1.26,6.12,7.0600000000000005,-1.6,3.06,-1.48,,255.36174035099998,0,0.2,
5,1,1,23,1,2,9,7,2,,2,0,7,7,1.56,-0.7000000000000001,-1.6400000000000001,-4.94,-1.6400000000000001,1.86,5.36,5.5200000000000005,,,5.34,-2.14,6.74,-0.88,1.94,1.68,-3.22,4.66,,,261.632474422,1,0.22,
5,1,1,24,1,1,9,7,4,,4,4,0,4,-6.26,-4.98,-3.96,0.88,-1.1,,,,,,3.74,-4.96,1.2,-1.02,7.04,,,,,,265.250986338,1,0.24,
5,1,1,25,1,1,9,7,1,,2,3,0,3,-5.88,-5.88,5.38,4.9,,,,,,,3.86,-2.44,6.88,-0.22,,,,,,,277.973038435,0,0.22,
5,1,1,26,1,1,9,7,1,,1,1,0,1,3.8200000000000003,-3.0,,,,,,,,,5.2,3.86,,,,,,,,,286.459572315,1,0.24,
5,1,1,27,1,2,9,7,1,,1,0,4,4,1.32,-4.2,-6.04,-2.9,2.66,,,,,,3.88,-5.24,-1.24,0.76,-0.96,,,,,,293.1451432705,1,0.26,
5,1,1,28,1,2,9,7,2,,2,0,1,1,1.7,0.0,,,,,,,,,6.78,3.04,,,,,,,,,297.4293961525,1,0.28,
5,1,1,29,1,2,9,7,2,,1,0,4,4,4.32,-4.82,5.78,-5.38,-4.58,,,,,,-5.48,-5.14,-0.9400000000000001,2.2,6.82,,,,,,300.4477882385,0,0.26,
