VP #,Exp #,Block #,Trial #,# targets/trial,Target difficulty,Difficulty level easy target,Difficulty level difficult target,Gap location easy/shown target,Gap location difficult target,Reported gap location,# easy distractors,# difficult distractors,# all distractors,stim_1 x,stim_2 x,stim_3 x,stim_4 x,stim_5 x,stim_6 x,stim_7 x,stim_8 x,stim_9 x,stim_10 x,stim_1 y,stim_2 y,stim_3 y,stim_4 y,stim_5 y,stim_6 y,stim_7 y,stim_8 y,stim_9 y,stim_10 y,Cumulative timer,Hit,Score,Fixation error
3,1,1,1,1,2,9,7,2,,2,0,3,3,2.2600000000000002,4.5200000000000005,0.66,-3.56,,,,,,,7.12,4.3,1.48,-1.0,,,,,,,2.799696921999953,1,0.02,
3,1,1,2,1,1,9,7,3,,3,1,0,1,5.86,-1.46,,,,,,,,,-3.12,1.78,,,,,,,,,4.523455857999977,1,0.04,
3,1,1,3,1,2,9,7,1,,1,0,7,7,2.88,-0.54,-5.72,-3.5,-0.78,5.86,-4.5,4.26,,,-0.58,5.96,-0.66,1.86,0.22,6.16,5.14,-3.48,,,6.632452965000027,1,0.06,
3,1,1,4,1,2,9,7,3,,4,0,2,2,-4.82,-5.0200000000000005,1.98,,,,,,,,3.42,-5.04,-1.18,,,,,,,,9.305733919000033,0,0.04,
3,1,1,5,1,1,9,7,1,,1,6,0,6,5.96,-3.72,-5.6000000000000005,3.5,-0.18,-1.84,2.8000000000000003,,,,4.16,6.0600000000000005,-1.84,-2.6,7.08,2.62,2.94,,,,17.151720762000025,1,0.06,
3,1,1,6,1,1,9,7,1,,1,1,0,1,3.66,5.28,,,,,,,,,-1.04,3.5,,,,,,,,,20.20630979499998,1,0.08,
3,1,1,7,1,2,9,7,1,,2,0,0,0,-0.34,,,,,,,,,,0.14,,,,,,,,,,22.252853869999967,0,0.06,
3,1,1,8,1,2,9,7,2,,2,0,5,5,-2.2800000000000002,0.36,4.5200000000000005,-2.54,2.7,-4.58,,,,,0.96,-1.0,-5.3,5.92,5.7,-1.6600000000000001,,,,,25.500610827999992,1,0.08,
3,1,1,9,1,2,9,7,4,,3,0,1,1,-4.58,2.46,,,,,,,,,0.68,-0.16,,,,,,,,,28.80453085900001,0,0.06,
3,1,1,10,1,1,9,7,3,,3,3,0,3,0.52,-4.62,-2.04,5.08,,,,,,,2.32,2.86,6.78,-5.26,,,,,,,33.83131170299998,1,0.08,
3,1,1,11,1,1,9,7,1,,1,2,0,2,1.58,0.52,-2.7600000000000002,,,,,,,,4.48,-3.1,-4.6000000000000005,,,,,,,,36.57068467099998,1,0.1,
3,1,1,12,1,1,9,7,4,,4,6,0,6,-5.28,-0.76,-1.3,3.62,3.04,-5.18,-1.82,,,,0.48,-3.66,3.42,-5.5,2.72,6.26,0.08,,,,41.77313566199996,1,0.12,
3,1,1,13,1,1,9,7,2,,2,8,0,8,6.08,-3.0,-6.22,-1.26,2.56,-3.04,5.1000000000000005,4.16,-4.16,,-4.72,-0.02,2.7800000000000002,3.6,5.36,-3.44,3.46,-0.16,5.4,,46.719881773,1,0.14,
