VP #,Exp #,Block #,Trial #,# targets/trial,Target difficulty,Difficulty level easy target,Difficulty level difficult target,Gap location easy/shown target,Gap location difficult target,Reported gap location,# easy distractors,# difficult distractors,# all distractors,stim_1 x,stim_2 x,stim_3 x,stim_4 x,stim_5 x,stim_6 x,stim_7 x,stim_8 x,stim_9 x,stim_10 x,stim_1 y,stim_2 y,stim_3 y,stim_4 y,stim_5 y,stim_6 y,stim_7 y,stim_8 y,stim_9 y,stim_10 y,Cumulative timer,Hit,Score,Fixation error
4,1,1,1,1,2,9,7,1,,2,0,6,6,-5.26,-5.54,-3.6,5.16,-2.08,2.12,-0.44,,,,-5.3,6.0200000000000005,-1.98,1.54,2.04,0.12,6.62,,,,18.782801151,0,-0.02,
4,1,1,2,1,1,9,7,3,,3,5,0,5,-4.38,-4.0,4.24,0.78,-3.88,-0.06,,,,,6.66,-0.62,5.16,4.72,2.7,-1.28,,,,,22.418031215999974,1,0.0,
4,1,1,3,1,2,9,7,4,,3,0,4,4,5.72,-2.18,-0.98,2.74,1.86,,,,,,3.3200000000000003,-2.84,1.7,4.44,-2.6,,,,,,25.76624417299996,0,-0.02,
4,1,1,4,1,1,9,7,2,,2,2,0,2,-1.48,4.42,1.74,,,,,,,,5.32,-4.96,3.88,,,,,,,,29.765785216999973,1,0.0,
4,1,1,5,1,1,9,7,1,,1,0,0,0,-4.72,,,,,,,,,,5.0,,,,,,,,,,33.21896314600002,1,0.02,
4,1,1,6,1,1,9,7,1,,1,8,0,8,5.94,-2.04,3.24,-2.02,2.08,-6.24,-4.72,0.8200000000000001,6.22,,-1.98,-4.12,-5.42,2.16,-0.96,-5.32,-1.3,6.18,3.48,,38.861354113000004,1,0.04,
4,1,1,7,1,2,9,7,3,,4,0,5,5,3.58,-5.8,0.32,-0.5,5.58,-5.28,,,,,-4.36,0.52,-3.36,1.3,1.34,-4.58,,,,,44.16492223700004,0,0.02,
4,1,1,8,1,2,9,7,1,,2,0,2,2,-5.48,-1.6600000000000001,1.82,,,,,,,,-3.6,-2.2600000000000002,3.38,,,,,,,,47.56190037699997,0,0.0,
4,1,1,9,1,1,9,7,1,,1,7,0,7,1.3800000000000001,5.12,6.0200000000000005,-5.3,0.72,5.12,-1.84,-6.16,,,5.82,1.1,5.66,5.84,-1.7,-3.7,5.88,0.0,,,58.37579655600001,1,0.02,
4,1,1,10,1,2,9,7,3,,4,0,6,6,5.3,-3.72,2.4,5.64,0.24,6.28,-5.2,,,,1.5,-2.66,-0.66,5.5200000000000005,5.12,-2.66,0.7000000000000001,,,,68.61909151100002,0,0.0,
4,1,1,11,1,2,9,7,3,,3,0,4,4,-5.44,-2.06,5.4,2.66,0.24,,,,,,5.96,0.52,0.14,5.1000000000000005,-2.68,,,,,,70.37954449699998,1,0.02,
4,1,1,12,1,2,9,7,2,,2,0,8,8,-3.48,3.16,5.94,-5.6000000000000005,-5.38,-3.2600000000000002,2.14,-2.64,3.5,,-4.98,-5.08,2.52,1.42,6.5600000000000005,4.08,5.84,-1.08,-0.68,,75.03262138399998,1,0.04,
4,1,1,13,1,1,9,7,2,,2,1,0,1,-6.140000000000001,-0.22,,,,,,,,,2.08,2.7800000000000002,,,,,,,,,77.201762438,1,0.06,
4,1,1,14,1,1,9,7,2,,2,2,0,2,5.98,2.8000000000000003,-2.9,,,,,,,,1.06,-0.4,-2.68,,,,,,,,79.22142934799996,1,0.08,
4,1,1,15,1,1,9,7,4,,4,3,0,3,2.64,4.42,5.8,-5.82,,,,,,,-4.62,0.66,-2.54,0.5,,,,,,,84.48485446000001,1,0.1,
4,1,1,16,1,1,9,7,3,,3,0,0,0,-2.3000000000000003,,,,,,,,,,-2.82,,,,,,,,,,86.311190367,1,0.12,
4,1,1,17,1,2,9,7,3,,3,0,3,3,0.52,1.48,6.26,-2.18,,,,,,,-0.52,4.0,1.32,-4.36,,,,,,,88.07744836799998,1,0.14,
4,1,1,18,1,1,9,7,4,,4,8,0,8,-6.24,-3.58,3.08,0.16,0.3,-3.64,3.8000000000000003,-0.46,-2.42,,-3.36,0.28,-3.72,7.08,-1.34,4.88,3.8000000000000003,3.94,-3.04,,102.20653033299999,1,0.16,
4,1,1,19,1,1,9,7,3,,3,6,0,6,-1.98,-5.94,-4.44,5.68,-5.64,3.02,5.32,,,,1.76,5.76,-4.0600000000000005,-4.14,0.64,6.7,2.0,,,,105.81849026699996,1,0.18,
4,1,1,20,1,1,9,7,2,,2,6,0,6,-5.74,3.12,-4.76,4.46,1.94,-1.52,2.42,,,,1.82,-4.4,6.92,6.82,0.3,0.14,3.58,,,,111.44980526,1,0.2,
4,1,1,21,1,2,9,7,3,,3,0,3,3,1.6400000000000001,-4.26,2.94,4.88,,,,,,,-0.4,0.62,4.22,-4.76,,,,,,,113.19922924000002,1,0.22,
4,1,1,22,1,1,9,7,3,,3,4,0,4,2.56,4.3,-0.48,5.22,-6.2,,,,,,4.44,-5.42,6.18,0.68,-0.92,,,,,,116.98493123100002,1,0.24,
4,1,1,23,1,2,9,7,4,,3,0,8,8,-2.46,6.1000000000000005,3.48,0.8200000000000001,-1.76,-4.96,0.98,-4.66,4.64,,-0.58,-1.92,0.14,6.58,4.72,2.34,-2.22,-3.02,3.9,,122.84625315699998,0,0.22,
4,1,1,24,1,2,9,7,4,,4,0,7,7,3.48,-1.52,0.62,-3.14,-4.1,6.04,0.02,2.86,,,-2.0,-0.54,1.84,3.24,-3.48,4.04,7.12,4.72,,,129.43678808200002,1,0.24,
4,1,1,25,1,2,9,7,1,,1,0,2,2,3.36,-0.1,-3.66,,,,,,,,2.64,-1.44,-5.26,,,,,,,,131.00082016,1,0.26,
4,1,1,26,1,2,9,7,2,,2,0,0,0,-0.68,,,,,,,,,,-0.7000000000000001,,,,,,,,,,132.45137214699997,1,0.28,
4,1,1,27,1,2,9,7,3,,3,0,1,1,6.08,-1.52,,,,,,,,,4.72,4.8,,,,,,,,,134.165581226,1,0.3,
4,1,1,28,1,2,9,7,2,,2,0,1,1,3.44,0.36,,,,,,,,,-3.1,-1.16,,,,,,,,,137.039535046,1,0.32,
4,1,1,29,1,1,9,7,3,,3,7,0,7,0.56,3.66,5.92,-5.18,-0.64,3.86,0.22,-5.9,,,5.86,0.28,5.98,-5.5200000000000005,2.72,-5.4,-1.3,-2.2,,,140.53907108299998,1,0.34,
4,1,1,30,1,2,9,7,1,,1,0,7,7,0.24,-4.92,-5.64,4.04,0.9,-2.52,-5.82,-4.16,,,-2.18,-5.44,1.82,5.6000000000000005,1.54,-0.46,-2.1,5.1000000000000005,,,148.838954926,1,0.36,
4,1,1,31,1,1,9,7,4,,4,3,0,3,5.0,-3.66,-4.5,-3.56,,,,,,,6.74,-4.28,4.66,1.34,,,,,,,151.499207973,1,0.38,
4,1,1,32,1,2,9,7,1,,1,0,5,5,-0.1,-4.74,4.0,1.12,4.0,-4.42,,,,,3.04,-4.18,-5.36,6.16,0.76,1.42,,,,,156.700592756,1,0.4,
4,1,1,33,1,1,9,7,1,,1,4,0,4,2.12,-4.68,-1.26,-4.34,1.6,,,,,,2.2,-2.9,6.28,6.96,-0.98,,,,,,159.56789874999998,1,0.42,
4,1,1,34,1,1,9,7,3,,3,1,0,1,6.22,2.14,,,,,,,,,-5.28,1.9000000000000001,,,,,,,,,162.077967882,1,0.44,
4,1,1,35,1,1,9,7,4,,4,5,0,5,4.92,-4.48,-6.16,0.42,2.7600000000000002,6.3,,,,,5.88,0.7000000000000001,6.32,-2.84,1.28,2.7,,,,,165.178520918,1,0.46,
4,1,1,36,1,2,9,7,3,,3,0,0,0,-3.38,,,,,,,,,,-1.6600000000000001,,,,,,,,,,167.19312381700001,1,0.48,
4,1,1,37,1,2,9,7,2,,1,0,6,6,-5.0600000000000005,-6.16,-2.3000000000000003,3.8000000000000003,4.0200000000000005,-1.12,-5.62,,,,1.54,4.86,-1.9000000000000001,3.94,-2.18,3.88,-4.12,,,,3.2193169590000252,0,-0.02,
