VP #,Exp #,Block #,Trial #,# targets/trial,Target difficulty,Difficulty level easy target,Difficulty level difficult target,Gap location easy/shown target,Gap location difficult target,Reported gap location,# easy distractors,# difficult distractors,# all distractors,stim_1 x,stim_2 x,stim_3 x,stim_4 x,stim_5 x,stim_6 x,stim_7 x,stim_8 x,stim_9 x,stim_10 x,stim_1 y,stim_2 y,stim_3 y,stim_4 y,stim_5 y,stim_6 y,stim_7 y,stim_8 y,stim_9 y,stim_10 y,Cumulative timer,Hit,Score,Fixation error
3,1,1,140,2,,9,7,1,2,2,5,3,8,-0.58,-1.86,-5.72,4.7,-2.82,-6.28,2.96,-6.18,3.36,-1.76,0.24,7.0600000000000005,-5.5,1.84,-2.42,3.7800000000000002,4.8,-1.54,-1.2,3.62,5.6095390319999865,1,0.02,
3,1,1,141,2,,9,7,4,2,2,7,1,8,-6.12,5.44,-6.32,4.92,-6.0200000000000005,-2.9,-3.52,3.66,0.88,1.28,-1.36,-4.12,5.66,-0.42,-4.5200000000000005,-3.62,3.3200000000000003,5.5200000000000005,-2.4,0.72,7.17200016999999,1,0.04,
3,1,1,142,2,,9,7,1,4,4,6,2,8,2.56,-5.36,6.0600000000000005,-3.8000000000000003,2.12,-3.56,5.5,3.66,-0.3,-0.8200000000000001,2.12,-2.36,-5.5,2.52,6.78,-5.34,3.94,-2.04,0.02,-3.38,9.159727096999973,1,0.06,
3,1,1,143,2,,9,7,4,3,3,8,0,8,-5.72,6.0,3.2,6.28,-3.22,4.08,1.84,-4.42,-3.62,-0.32,3.34,-3.88,-5.36,5.18,-4.78,2.1,6.7,6.28,-1.6,2.56,10.719815015999984,1,0.08,
3,1,1,144,2,,9,7,4,1,1,8,0,8,3.44,-5.4,0.9,4.96,2.8000000000000003,-6.0200000000000005,6.04,0.16,-2.24,-1.22,-1.34,0.46,2.7600000000000002,5.7,-5.04,-3.54,-5.48,6.5600000000000005,4.28,-0.28,14.133696079000003,1,0.1,
3,1,1,145,2,,9,7,2,1,2,1,7,8,-0.14,4.0600000000000005,5.46,-1.58,-3.4,-6.0600000000000005,-4.68,0.52,1.22,3.24,6.78,-4.5200000000000005,2.8000000000000003,-2.9,5.0200000000000005,-3.7600000000000002,0.9400000000000001,2.36,-0.9,5.46,16.99805116700003,1,0.12,
3,1,1,146,2,,9,7,4,2,4,3,5,8,-4.12,5.44,-6.32,5.7,0.38,2.2600000000000002,-0.9,-5.46,3.88,2.36,6.58,6.9,3.7600000000000002,2.94,-1.86,5.1000000000000005,5.22,-2.88,-4.6000000000000005,1.18,19.338914155999987,1,0.14,
3,1,1,147,2,,9,7,2,1,2,1,7,8,-1.8,-3.24,-4.96,1.44,-0.56,-5.98,5.24,5.96,5.38,2.52,6.96,3.94,-2.96,-3.38,1.22,6.5600000000000005,-4.34,0.3,3.48,-0.24,22.014069080000013,1,0.16,
3,1,1,148,2,,9,7,2,3,2,4,4,8,-4.0600000000000005,-5.96,-2.7600000000000002,0.9400000000000001,6.08,3.84,0.38,-3.46,6.0200000000000005,2.92,0.98,7.08,-1.8800000000000001,-1.6600000000000001,-2.6,0.12,2.2800000000000002,4.74,2.98,6.0200000000000005,27.62869310399998,1,0.18,
3,1,1,149,2,,9,7,1,4,1,2,6,8,2.94,1.3800000000000001,1.18,4.0,6.12,-0.2,-4.16,-2.34,-5.7,4.58,1.82,6.9,-1.08,4.96,-2.08,2.1,-3.66,5.78,6.08,-5.34,29.652104139000016,1,0.2,
