VP #,Exp #,Block #,Trial #,# targets/trial,Target difficulty,Difficulty level easy target,Difficulty level difficult target,Gap location easy/shown target,Gap location difficult target,Reported gap location,# easy distractors,# difficult distractors,# all distractors,stim_1 x,stim_2 x,stim_3 x,stim_4 x,stim_5 x,stim_6 x,stim_7 x,stim_8 x,stim_9 x,stim_10 x,stim_1 y,stim_2 y,stim_3 y,stim_4 y,stim_5 y,stim_6 y,stim_7 y,stim_8 y,stim_9 y,stim_10 y,Cumulative timer,Hit,Score,Fixation error
5,1,1,108,2,,9,7,1,4,1,8,0,8,1.16,-6.1000000000000005,5.3,-1.54,-0.6,-1.3,-5.08,4.3,-3.2600000000000002,3.36,-0.26,5.7,-1.78,3.68,6.84,-2.38,-4.04,6.88,0.68,2.7800000000000002,7.350020884999992,1,0.02,
5,1,1,109,2,,9,7,1,4,1,0,8,8,-3.08,-5.84,5.04,4.58,-2.06,-6.1000000000000005,-2.04,0.4,-5.62,3.08,-0.76,-4.5,1.96,-3.44,6.26,6.140000000000001,2.42,-3.12,2.2600000000000002,6.16,9.709874867999986,1,0.04,
5,1,1,110,2,,9,7,3,2,3,4,4,8,3.2600000000000002,2.1,-1.2,-6.140000000000001,0.6,-3.84,-1.12,-5.2,-4.0200000000000005,4.24,-5.08,6.5,6.84,2.32,-0.58,-0.56,2.38,-3.7600000000000002,4.86,3.98,15.174105883000038,1,0.06,
5,1,1,111,2,,9,7,4,1,1,2,6,8,-5.14,6.28,-2.06,4.26,-2.38,-3.06,5.16,2.2600000000000002,-5.86,1.98,7.04,5.5,6.0600000000000005,-5.18,0.98,-5.22,2.3000000000000003,6.48,1.84,1.46,18.996339798000008,1,0.08,
5,1,1,112,2,,9,7,2,1,2,0,8,8,-2.86,6.3,5.36,-1.8800000000000001,4.32,-1.6600000000000001,-4.1,-0.1,3.94,-4.88,-5.28,-0.12,5.96,0.12,2.64,6.16,4.18,-2.62,-3.52,-2.1,21.042907714999956,1,0.1,
5,1,1,113,2,,9,7,4,3,4,3,5,8,0.68,-3.48,-0.04,4.66,-5.68,0.08,4.12,3.14,6.1000000000000005,-5.96,-0.5,4.12,3.36,6.62,-5.32,7.08,-4.42,3.1,-0.9,-0.84,24.128273725999975,1,0.12,
5,1,1,114,2,,9,7,2,1,2,1,7,8,0.9,-3.3200000000000003,-5.4,5.08,0.66,4.3,-0.32,6.18,-5.84,5.26,0.9400000000000001,6.18,-1.5,2.24,4.68,-0.96,-3.46,5.5600000000000005,-4.72,-4.38,26.86788272900003,1,0.14,
5,1,1,115,2,,9,7,1,3,4,6,2,8,4.46,-4.86,2.86,6.18,-3.2600000000000002,6.2,2.6,4.5200000000000005,0.7000000000000001,0.1,2.74,0.12,0.02,-4.46,-3.24,-0.1,-4.5,6.28,5.58,-1.78,28.595895767000002,0,0.12,
5,1,1,116,2,,9,7,1,2,1,5,3,8,-6.2,-1.3800000000000001,0.44,-4.44,4.24,6.2,4.94,-4.72,1.24,-1.68,6.96,-3.7800000000000002,1.8,-5.48,-3.58,6.84,0.98,1.6600000000000001,-1.76,5.34,32.16560483000001,1,0.14,
5,1,1,117,2,,9,7,1,3,1,1,7,8,0.46,-5.72,-2.34,-4.0600000000000005,3.36,-5.92,-1.34,4.9,6.28,1.8800000000000001,-0.86,6.86,0.58,3.56,0.8,-2.86,6.9,-4.8,2.66,4.92,35.180039883000006,1,0.16,
