EyeLink specific 1,EyeLink specific 2,Timestamp fixation cross onset,Timestamp stimuli onset,Timestamp response
,,,0,30897.3488808
,,,0,7836.37094498
,,,0,8329.31613922
,,,0,7385.68210602
,,,0,11285.8250141
,,,0,6567.30294228
,,,0,3160.80713272
,,,0,2393.04685593
,,,0,1830.15918732
,,,0,1864.89295959
,,,0,2645.6990242
,,,0,6447.89910316
,,,0,4291.90897942
,,,0,8636.75498962
,,,0,2156.68606758
,,,0,3102.65111923
,,,0,2138.45491409
,,,0,2692.94214249
,,,0,5388.02289963
,,,0,5002.64191628
,,,0,1604.57396507
,,,0,1715.1889801
,,,0,1723.63591194
,,,0,1686.4528656
,,,0,4949.22685623
,,,0,2627.43091583
,,,0,1488.55686188
,,,0,3395.71690559
,,,0,6397.91798592
,,,0,3497.11084366
,,,0,3897.53699303
,,,0,3556.73599243
,,,0,4171.69308662
,,,0,2083.10508728
,,,0,9987.87999153
,,,0,2416.28789902
,,,0,2394.14787292
,,,0,1579.51498032
,,,0,3568.6070919
,,,0,2905.20095825
,,,0,1615.60797691
,,,0,2699.79691505
,,,0,5519.00196075
,,,0,1819.62800026
,,,0,1515.8598423
,,,0,2780.83395958
,,,0,4007.77196884
,,,0,2612.39314079
,,,0,5919.66700554
,,,0,3452.17895508
,,,0,2813.18998337
,,,0,3524.61695671
,,,0,3219.59090233
,,,0,5653.3780098
,,,0,1659.69610214
,,,0,4667.08493233
,,,0,5221.12798691
,,,0,1459.22207832
,,,0,8317.52085686
,,,0,1705.8608532
,,,0,1370.06592751
,,,0,7076.87401772
,,,0,6244.71187592
,,,0,2619.92907524
,,,0,5912.8921032
,,,0,8367.99311638
,,,0,7639.91117477
,,,0,2742.64502525
,,,0,7965.56401253
,,,0,4953.85098457
,,,0,1733.15405846
,,,0,7721.6629982
,,,0,3619.63915825
,,,0,2535.14695168
,,,0,1534.55591202
,,,0,2051.02515221
,,,0,3032.4242115
,,,0,8542.64497757
,,,0,5405.02095222
,,,0,2709.25593376
,,,0,2595.51501274
,,,0,2455.26313782
,,,0,1601.5868187
,,,0,1725.65507889
,,,0,2541.29385948
,,,0,6456.76708221
,,,0,7322.45206833
,,,0,3126.0099411
,,,0,6835.98589897
,,,0,7416.38994217
,,,0,3222.07903862
,,,0,4510.06293297
,,,0,3806.54096603
,,,0,1495.24116516
,,,0,1876.63412094
,,,0,2747.47395515
,,,0,2913.24305534
,,,0,7787.76097298
,,,0,5395.35307884
,,,0,1362.48087883
,,,0,2932.77192116
,,,0,1834.10382271
,,,0,5278.00703049
,,,0,3692.53993034
,,,0,2519.562006
,,,0,6355.45802116
,,,0,1902.89783478
,,,0,1673.69413376
,,,0,4337.76092529
,,,0,5463.29092979
,,,0,1282.76109695
,,,0,4005.55086136
,,,0,1386.6789341
,,,0,6570.30797005
,,,0,3081.5808773
,,,0,5994.33898926
,,,0,1654.67405319
,,,0,2832.67903328
,,,0,1440.27304649
,,,0,3422.23000526
,,,0,1647.71199226
,,,0,3817.76309013
,,,0,1669.39592361
,,,0,2627.1109581
,,,0,1384.2420578
,,,0,6819.00000572
,,,0,4539.88695145
,,,0,5023.41794968
,,,0,1432.78598785
,,,0,2448.85897636
,,,0,1336.41195297
,,,0,1900.94995499
,,,0,2395.6258297
,,,0,1424.22604561
,,,0,6463.7169838
,,,0,1401.30996704
,,,0,1361.20510101
,,,0,7964.24818039
,,,0,4564.57304955
,,,0,5978.98101807
,,,0,1305.62806129
,,,0,2260.50496101
,,,0,2197.32999802
