VP #,Exp #,Block #,Trial #,# targets/trial,Target difficulty,Difficulty level easy target,Difficulty level difficult target,Gap location easy/shown target,Gap location difficult target,Reported gap location,# easy distractors,# difficult distractors,# all distractors,stim_1 x,stim_2 x,stim_3 x,stim_4 x,stim_5 x,stim_6 x,stim_7 x,stim_8 x,stim_9 x,stim_10 x,stim_1 y,stim_2 y,stim_3 y,stim_4 y,stim_5 y,stim_6 y,stim_7 y,stim_8 y,stim_9 y,stim_10 y,Cumulative timer,Hit,Score,Fixation error
1,1,1,1,1,2,9,7,4,,3,0,8,8,6.04,-2.08,-4.14,0.9,5.14,-3.18,6.2,0.46,2.9,,0.38,-3.48,5.08,5.78,6.0,1.94,-3.7800000000000002,2.12,0.0,,30.897348881000028,0,-0.02,
1,1,1,2,1,1,9,7,4,,4,0,0,0,6.26,,,,,,,,,,0.88,,,,,,,,,,38.73371982599997,1,0.0,
1,1,1,3,1,1,9,7,3,,3,2,0,2,-6.3,-3.88,2.14,,,,,,,,2.2800000000000002,-1.08,-0.64,,,,,,,,47.06303596499998,1,0.02,
1,1,1,4,1,1,9,7,4,,4,5,0,5,-2.22,-1.74,2.48,-5.76,1.6600000000000001,6.0200000000000005,,,,,-3.74,2.32,-0.36,3.48,5.58,5.68,,,,,54.44871807100003,1,0.04,
1,1,1,5,1,1,9,7,1,,1,6,0,6,2.36,4.88,6.140000000000001,-0.64,1.22,-4.62,-4.16,,,,6.88,-1.5,2.02,-2.08,1.94,-5.04,3.74,,,,65.73454308499998,1,0.06,
1,1,1,6,1,2,9,7,3,,3,0,5,5,-1.22,6.32,4.22,-2.3000000000000003,-5.5,1.1400000000000001,,,,,-0.84,-4.34,-0.9,6.28,1.86,3.74,,,,,72.30184602700001,1,0.08,
1,1,1,7,1,1,9,7,4,,4,6,0,6,-2.42,6.140000000000001,-5.1000000000000005,2.02,1.44,-0.8,5.18,,,,-2.0,-3.74,2.54,5.96,-0.68,2.62,1.7,,,,75.46265316,1,0.1,
1,1,1,8,1,2,9,7,2,,2,0,0,0,3.36,,,,,,,,,,3.12,,,,,,,,,,77.85570001600001,1,0.12,
1,1,1,9,1,1,9,7,2,,2,2,0,2,-4.54,-3.64,3.34,,,,,,,,5.66,-0.48,0.54,,,,,,,,79.685859203,1,0.14,
1,1,1,10,1,2,9,7,3,,4,0,7,7,0.3,-4.5600000000000005,2.36,-4.88,-3.52,-0.76,5.0,1.92,,,1.04,0.88,6.0,4.62,-2.96,4.94,0.88,-1.8800000000000001,,,81.55075216299997,0,0.12,
1,1,1,11,1,1,9,7,1,,1,1,0,1,2.18,-1.72,,,,,,,,,6.0,5.08,,,,,,,,,84.19645118700004,1,0.14,
1,1,1,12,1,2,9,7,4,,3,0,3,3,6.1000000000000005,-4.24,3.06,-6.0200000000000005,,,,,,,5.32,-1.0,0.6,4.2,,,,,,,90.64435028999998,0,0.12,
1,1,1,13,1,2,9,7,3,,3,0,2,2,5.46,2.58,0.22,,,,,,,,-2.64,0.48,3.7,,,,,,,,94.93625927,1,0.14,
1,1,1,14,1,1,9,7,4,,4,5,0,5,-5.2,6.08,-4.82,-5.18,1.18,2.08,,,,,-0.08,-3.8200000000000003,-3.22,6.5,2.56,7.12,,,,,103.57301425899999,1,0.16,
1,1,1,15,1,1,9,7,4,,4,8,0,8,-3.2800000000000002,2.2800000000000002,3.58,-5.66,-2.42,-3.52,-6.28,4.98,0.02,,-0.3,3.14,-3.14,-4.86,-4.08,3.96,-1.54,5.46,0.72,,105.72970032699999,1,0.18,
1,1,1,16,1,2,9,7,4,,3,0,7,7,-5.98,-0.48,2.66,3.86,6.140000000000001,-5.42,-1.46,-1.28,,,1.54,6.0200000000000005,3.6,-2.82,6.58,-3.22,-2.14,1.62,,,108.83235144599996,0,0.16,
1,1,1,17,1,1,9,7,1,,1,0,0,0,-3.98,,,,,,,,,,1.44,,,,,,,,,,110.97080635999998,1,0.18,
1,1,1,18,1,2,9,7,2,,2,0,1,1,-1.8800000000000001,1.26,,,,,,,,,4.58,3.24,,,,,,,,,113.66374850300002,1,0.2,
1,1,1,19,1,2,9,7,2,,2,0,6,6,6.16,0.38,3.44,3.7800000000000002,0.02,-3.92,-6.04,,,,0.52,4.18,2.12,5.8,-0.16,2.7600000000000002,-2.52,,,,119.05177140199999,1,0.22,
1,1,1,20,1,1,9,7,2,,2,4,0,4,6.12,1.16,4.42,-1.92,-2.34,,,,,,2.84,4.32,-3.9,7.04,1.82,,,,,,124.05441331899999,1,0.24,
1,1,1,21,1,2,9,7,4,,4,0,2,2,2.88,5.82,0.04,,,,,,,,5.76,0.16,0.62,,,,,,,,125.65898728399998,1,0.26,
1,1,1,22,1,1,9,7,2,,2,4,0,4,-5.5200000000000005,-5.5600000000000005,5.24,5.58,-2.46,,,,,,-4.48,-1.08,-5.48,3.86,-0.04,,,,,,127.37417626400003,1,0.28,
1,1,1,23,1,2,9,7,4,,4,0,0,0,1.92,,,,,,,,,,-2.32,,,,,,,,,,129.097812176,1,0.3,
1,1,1,24,1,2,9,7,4,,4,0,5,5,-6.12,-2.36,-2.92,0.08,2.48,3.44,,,,,0.9,-0.52,3.3000000000000003,1.5,4.96,-0.32,,,,,130.78426504100003,1,0.32,
1,1,1,25,1,1,9,7,2,,2,7,0,7,-3.3200000000000003,1.28,1.9000000000000001,5.12,6.3,-3.36,-2.7800000000000002,-6.26,,,6.88,6.0200000000000005,-3.86,4.5600000000000005,-1.62,3.0,-2.5,-3.16,,,135.733491898,1,0.34,
1,1,1,26,1,2,9,7,3,,3,0,3,3,5.08,-1.2,-6.32,0.52,,,,,,,-3.2600000000000002,6.640000000000001,4.32,-3.08,,,,,,,138.360922813,1,0.36,
1,1,1,27,1,1,9,7,4,,4,7,0,7,-5.26,-2.98,6.04,-2.58,5.9,0.92,6.12,-1.24,,,-0.26,6.98,3.16,2.32,-5.2,6.82,-1.24,-2.64,,,139.849479675,1,0.38,
1,1,1,28,1,1,9,7,4,,4,8,0,8,1.72,-1.24,5.34,-1.4000000000000001,1.7,-1.44,-5.76,3.46,5.22,,-1.76,5.04,6.28,-3.7600000000000002,3.2800000000000002,1.36,-2.12,-4.44,-0.72,,143.245196581,1,0.4,
1,1,1,29,1,2,9,7,2,,2,0,4,4,2.88,5.0200000000000005,-4.42,3.42,-3.66,,,,,,-3.2800000000000002,4.9,1.98,2.0,-4.4,,,,,,149.643114567,1,0.42,
1,1,1,30,1,2,9,7,1,,1,0,4,4,5.46,5.12,0.12,-1.12,4.36,,,,,,7.1000000000000005,-1.42,6.22,1.24,1.96,,,,,,153.14022541000003,1,0.44,
1,1,1,31,1,1,9,7,1,,1,3,0,3,-0.52,5.28,-4.5,5.18,,,,,,,4.76,-4.96,-3.54,0.56,,,,,,,157.037762403,1,0.46,
1,1,1,32,1,1,9,7,4,,4,3,0,3,4.16,-1.46,-6.12,4.34,,,,,,,-1.2,-1.5,1.5,2.22,,,,,,,160.594498396,1,0.48,
1,1,1,33,1,2,9,7,2,,2,0,1,1,0.9,-1.76,,,,,,,,,-1.4000000000000001,5.0600000000000005,,,,,,,,,164.766191483,1,0.5,
1,1,1,34,1,2,9,7,3,,3,0,6,6,5.62,-5.96,-2.16,-2.46,-5.82,-1.12,2.72,,,,1.6,-0.98,-3.62,6.1000000000000005,-5.42,-0.3,-1.6600000000000001,,,,166.84929657,1,0.52,
1,1,1,35,1,2,9,7,2,,1,0,8,8,4.78,-1.8,-5.66,-0.58,0.6,4.4,-5.0200000000000005,1.32,4.04,,-5.5200000000000005,-3.58,-3.2600000000000002,2.22,6.0600000000000005,-1.6400000000000001,1.9000000000000001,-2.8000000000000003,6.48,,176.837176561,0,0.5,
1,1,1,36,1,1,9,7,3,,3,1,0,1,3.0,1.9000000000000001,,,,,,,,,-3.06,0.22,,,,,,,,,179.25346445999998,1,0.52,
1,1,1,37,1,2,9,7,3,,3,0,1,1,-4.18,3.44,,,,,,,,,-5.04,-2.58,,,,,,,,,2.3941478730000085,1,0.02,
1,1,1,38,1,2,9,7,4,,4,0,0,0,1.32,,,,,,,,,,-3.2600000000000002,,,,,,,,,,3.9736628530000075,1,0.04,
1,1,1,39,1,2,9,7,2,,2,0,4,4,3.8200000000000003,-2.38,0.36,-2.54,2.64,,,,,,4.9,-3.62,6.36,-0.48,-1.42,,,,,,7.542269944999987,1,0.06,
1,1,1,40,1,1,9,7,1,,1,5,0,5,-5.12,-1.18,-3.44,5.5,1.62,5.18,,,,,2.2800000000000002,4.22,-3.3200000000000003,2.2800000000000002,2.62,-3.0,,,,,10.447470902999953,1,0.08,
1,1,1,41,1,1,9,7,4,,4,0,0,0,5.92,,,,,,,,,,0.68,,,,,,,,,,12.063078879999978,1,0.1,
1,1,1,42,1,2,9,7,2,,2,0,2,2,0.66,5.34,5.22,,,,,,,,-1.86,0.8200000000000001,-2.52,,,,,,,,14.762875795000014,1,0.12,
1,1,1,43,1,2,9,7,2,,2,0,1,1,3.42,1.9000000000000001,,,,,,,,,3.6,0.26,,,,,,,,,20.28187775599997,1,0.14,
1,1,1,44,1,1,9,7,1,,1,0,0,0,5.76,,,,,,,,,,4.84,,,,,,,,,,22.101505755999995,1,0.16,
1,1,1,45,1,1,9,7,3,,3,0,0,0,3.66,,,,,,,,,,-1.28,,,,,,,,,,23.61736559900004,1,0.18,
1,1,1,46,1,1,9,7,3,,3,5,0,5,-3.1,2.98,1.1400000000000001,-6.140000000000001,4.1,4.64,,,,,6.6000000000000005,-3.98,2.96,0.58,4.82,1.5,,,,,26.398199558000044,1,0.2,
1,1,1,47,1,2,9,7,2,,2,0,5,5,-2.68,1.2,-5.36,-4.68,5.9,-2.4,,,,,-3.18,3.42,-5.32,5.48,4.0,1.4000000000000001,,,,,30.40597152700002,1,0.22,
1,1,1,48,1,2,9,7,4,,4,0,6,6,-3.54,-5.28,1.72,4.76,0.62,-3.24,-2.18,,,,2.72,-0.5,-3.48,4.24,2.6,6.24,-3.74,,,,33.018364668000004,1,0.24,
1,1,1,49,1,1,9,7,4,,4,4,0,4,-3.96,1.74,6.04,-0.56,5.24,,,,,,-1.32,3.9,2.2800000000000002,1.44,6.640000000000001,,,,,,38.93803167300001,1,0.26,
1,1,1,50,1,2,9,7,2,,2,0,5,5,-1.0,-5.64,-5.54,4.74,0.58,4.04,,,,,3.66,-2.74,1.34,-0.1,0.5,3.46,,,,,42.39021062899997,1,0.28,
1,1,1,51,1,1,9,7,2,,2,2,0,2,5.66,-5.92,2.72,,,,,,,,-5.44,-1.44,5.42,,,,,,,,45.20340061200005,1,0.3,
1,1,1,52,1,2,9,7,4,,4,0,4,4,4.16,0.28,-2.56,-5.76,-3.08,,,,,,0.8,0.36,4.04,1.8,-4.94,,,,,,48.72801756900003,1,0.32,
